instr mname: ntdll.dll, instr offset: 5af22, target mname: ntdll.dll, target offset: a3c70
instr mname: KERNEL32.dll, instr offset: 12578, target mname: KERNEL32.dll, target offset: 241f0
instr mname: RecursionOneFunc.exe, instr offset: 3674, target mname: RecursionOneFunc.exe, target offset: 3a9c
instr mname: RecursionOneFunc.exe, instr offset: 3508, target mname: RecursionOneFunc.exe, target offset: 36c0
instr mname: RecursionOneFunc.exe, instr offset: 36dd, target mname: RecursionOneFunc.exe, target offset: 3e4c
instr mname: RecursionOneFunc.exe, instr offset: 36e2, target mname: RecursionOneFunc.exe, target offset: 3b6c
instr mname: RecursionOneFunc.exe, instr offset: 36ef, target mname: RecursionOneFunc.exe, target offset: 3b6c
instr mname: RecursionOneFunc.exe, instr offset: 351d, target mname: RecursionOneFunc.exe, target offset: 3684
instr mname: RecursionOneFunc.exe, instr offset: 3688, target mname: RecursionOneFunc.exe, target offset: 3ff8
instr mname: RecursionOneFunc.exe, instr offset: 354f, target mname: RecursionOneFunc.exe, target offset: 4070
instr mname: ucrtbase.dll, instr offset: 25217, target mname: ucrtbase.dll, target offset: 554c0
instr mname: RecursionOneFunc.exe, instr offset: 341b, target mname: RecursionOneFunc.exe, target offset: 404c
instr mname: RecursionOneFunc.exe, instr offset: 3420, target mname: RecursionOneFunc.exe, target offset: 3b54
instr mname: RecursionOneFunc.exe, instr offset: 3427, target mname: RecursionOneFunc.exe, target offset: 4082
instr mname: ucrtbase.dll, instr offset: 291e5, target mname: ucrtbase.dll, target offset: 2044c
instr mname: ucrtbase.dll, instr offset: 20456, target mname: KERNELBASE.dll, target offset: 26e90
instr mname: ucrtbase.dll, instr offset: 20464, target mname: KERNELBASE.dll, target offset: 28fc0
instr mname: KERNELBASE.dll, instr offset: 28fd4, target mname: ntdll.dll, target offset: 576b0
instr mname: ucrtbase.dll, instr offset: 2046f, target mname: ntdll.dll, target offset: 537c0
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
instr mname: RecursionOneFunc.exe, instr offset: 342c, target mname: RecursionOneFunc.exe, target offset: 3b48
instr mname: RecursionOneFunc.exe, instr offset: 3433, target mname: RecursionOneFunc.exe, target offset: 40b2
instr mname: RecursionOneFunc.exe, instr offset: 343f, target mname: RecursionOneFunc.exe, target offset: 370c
instr mname: RecursionOneFunc.exe, instr offset: 3722, target mname: RecursionOneFunc.exe, target offset: 3ff8
instr mname: RecursionOneFunc.exe, instr offset: 3448, target mname: RecursionOneFunc.exe, target offset: 3dd4
instr mname: RecursionOneFunc.exe, instr offset: 3454, target mname: RecursionOneFunc.exe, target offset: 38bc
instr mname: RecursionOneFunc.exe, instr offset: 38c0, target mname: RecursionOneFunc.exe, target offset: 3880
instr mname: RecursionOneFunc.exe, instr offset: 3893, target mname: RecursionOneFunc.exe, target offset: 40c4
instr mname: ucrtbase.dll, instr offset: 24424, target mname: KERNELBASE.dll, target offset: 26e90
instr mname: ucrtbase.dll, instr offset: 24432, target mname: KERNELBASE.dll, target offset: 28fc0
instr mname: KERNELBASE.dll, instr offset: 28fd4, target mname: ntdll.dll, target offset: 576b0
instr mname: ucrtbase.dll, instr offset: 2443d, target mname: ntdll.dll, target offset: 537c0
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
instr mname: ucrtbase.dll, instr offset: 24473, target mname: ucrtbase.dll, target offset: 24490
instr mname: ucrtbase.dll, instr offset: 244b7, target mname: ntdll.dll, target offset: 21a90
instr mname: ucrtbase.dll, instr offset: 244c1, target mname: ucrtbase.dll, target offset: 5383c
instr mname: ucrtbase.dll, instr offset: 538ca, target mname: ucrtbase.dll, target offset: 10d2c
instr mname: ucrtbase.dll, instr offset: 10d71, target mname: ucrtbase.dll, target offset: 118b0
instr mname: ucrtbase.dll, instr offset: 11900, target mname: ucrtbase.dll, target offset: 11930
instr mname: ucrtbase.dll, instr offset: 11960, target mname: ntdll.dll, target offset: 3caf0
instr mname: ntdll.dll, instr offset: 3d234, target mname: ntdll.dll, target offset: 3f130
instr mname: ntdll.dll, instr offset: 3f1e2, target mname: ntdll.dll, target offset: 43e40
instr mname: ntdll.dll, instr offset: 3fb95, target mname: ntdll.dll, target offset: 48f4c
instr mname: ucrtbase.dll, instr offset: 10d8f, target mname: ucrtbase.dll, target offset: 50ec0
instr mname: ucrtbase.dll, instr offset: 538d4, target mname: ucrtbase.dll, target offset: 13630
instr mname: ucrtbase.dll, instr offset: 244cb, target mname: ucrtbase.dll, target offset: 533b8
instr mname: RecursionOneFunc.exe, instr offset: 3459, target mname: RecursionOneFunc.exe, target offset: 3b4c
instr mname: RecursionOneFunc.exe, instr offset: 3460, target mname: RecursionOneFunc.exe, target offset: 4058
instr mname: ucrtbase.dll, instr offset: 2566f, target mname: ucrtbase.dll, target offset: 6320
instr mname: ucrtbase.dll, instr offset: 25686, target mname: ucrtbase.dll, target offset: 22130
instr mname: ucrtbase.dll, instr offset: 22160, target mname: KERNELBASE.dll, target offset: 5a390
instr mname: KERNELBASE.dll, instr offset: 5a3e5, target mname: ntdll.dll, target offset: 2d550
instr mname: ntdll.dll, instr offset: 2d594, target mname: ntdll.dll, target offset: 2d600
instr mname: ntdll.dll, instr offset: 2d644, target mname: ntdll.dll, target offset: a6b00
instr mname: KERNELBASE.dll, instr offset: 5a409, target mname: ntdll.dll, target offset: 537c0
instr mname: ntdll.dll, instr offset: 537fb, target mname: ntdll.dll, target offset: 8ed70
